SalesOrderNumber	OrderDate	OrderedProducts	EmployeeKey	OrderedQuantity	TotalPrice	TotalSales	TotalCost	TotalMargin
SO49485	2019-03-12	33	291	142	19704.09	86352.24	87748.11	-1395.87
SO57174	2019-11-27	2	281	4	2860.88	5721.76	5927.76	-206.0
SO50288	2019-05-23	1	285	1	647.99	647.99	598.44	49.55
SO50694	2019-06-12	53	291	251	22639.62	95434.6	95815.14	-380.54
SO44131	2017-09-29	10	281	24	12269.86	20514.27	19173.47	1340.8
SO48755	2019-01-14	18	292	66	8340.64	24993.6	22427.34	2566.26
SO55293	2019-10-19	11	295	18	6431.25	9208.67	9512.73	-304.06
SO65238	2020-03-16	37	291	143	10299.21	23205.44	23535.77	-330.33
SO57031	2019-11-04	2	293	3	662.98	1001.97	911.02	90.95
SO49445	2019-03-01	3	282	6	1409.37	2818.74	2920.24	-101.5
SO51713	2019-08-05	1	281	1	323.99	323.99	343.65	-19.66
SO49100	2019-02-12	20	284	103	1855.52	17315.07	17894.93	-579.86
SO63156	2020-02-07	18	293	33	12374.27	24025.39	24754.69	-729.3
SO46101	2018-05-30	25	282	49	15458.2	28097.08	28182.89	-85.81
SO53534	2019-09-16	27	283	120	3797.82	12429.99	12718.36	-288.37
SO61224	2020-01-18	29	283	92	14672.01	35379.24	37308.12	-1928.88
SO57033	2019-11-05	1	282	1	12.14	12.14	8.99	3.15
SO49059	2019-02-04	2	293	2	263.25	263.25	222.94	40.31
SO51133	2019-07-17	1	287	1	1020.59	1020.59	1082.51	-61.92
SO67307	2020-04-17	4	287	17	19.16	84.43	70.47	13.96
SO44527	2017-11-14	5	288	7	6116.37	6127.77	5735.98	391.79
SO50218	2019-05-08	42	293	163	11791.36	34110.07	29944.55	4165.52
SO61237	2020-01-22	4	296	8	3050.17	5115.31	5299.46	-184.15
SO49881	2019-04-26	1	283	1	1308.94	1308.94	1320.68	-11.74
SO59005	2019-12-18	1	281	1	16.27	16.27	12.04	4.23
SO48733	2019-01-03	3	292	7	724.77	878.33	756.81	121.52
SO65302	2020-03-27	1	283	2	32.99	65.98	41.13	24.85
SO55328	2019-10-31	41	285	226	11937.9	31915.74	32475.68	-559.94
SO45786	2018-04-06	29	288	125	14457.81	68985.52	69125.99	-140.47
SO51859	2019-08-29	3	293	3	1964.55	1964.55	2143.23	-178.68
SO61204	2020-01-12	33	291	128	9519.35	22748.36	23513.04	-764.68
SO69440	2020-05-09	3	283	5	519.57	577.45	504.75	72.7
SO43689	2017-07-24	21	283	66	12143.25	33997.39	33868.35	129.04
SO51715	2019-08-05	31	282	91	12687.6	37573.36	33918.07	3655.29
SO46342	2018-06-09	9	287	24	7329.35	20004.3	40750.16	-20745.86
SO46030	2018-05-02	3	289	10	4070.68	8164.16	7640.88	523.28
SO48352	2018-12-20	3	291	6	1141.91	2283.82	2321.14	-37.32
SO44089	2017-09-10	3	282	5	1258.38	2097.3	2065.73	31.57
SO51739	2019-08-09	72	292	476	18930.74	111553.7	100305.94	11247.76
SO49094	2019-02-11	27	291	71	16829.0	44603.81	45621.48	-1017.67
SO47719	2018-10-27	8	286	25	3210.73	9845.07	10047.58	-202.51
SO50322	2019-05-31	41	282	183	13442.88	71630.67	64081.29	7549.38
SO49047	2019-02-02	2	291	2	489.98	489.98	500.59	-10.61
SO65254	2020-03-20	2	288	3	83.98	125.97	78.53	47.44
SO53563	2019-09-21	36	285	147	20395.43	81432.79	85409.78	-3976.99
SO57091	2019-11-13	10	283	20	3746.08	6032.81	5442.37	590.44
SO57134	2019-11-19	23	281	60	13680.45	32632.75	34356.17	-1723.42
SO45547	2018-03-14	9	283	30	16265.62	40766.8	38192.68	2574.12
SO57176	2019-11-28	8	287	35	1569.83	2245.47	2053.13	192.34
SO50728	2019-06-22	30	288	131	14493.58	44624.06	39431.46	5192.6
SO47061	2018-08-29	25	288	58	6087.58	14630.81	13744.03	886.78
SO49131	2019-02-20	1	282	1	141.62	141.62	104.8	36.82
SO51161	2019-07-28	13	295	17	5461.41	6010.55	6910.1	-899.55
SO43911	2017-08-29	15	286	46	7013.98	19734.89	19660.99	73.9
SO53576	2019-09-23	33	286	99	14391.1	44080.64	39873.8	4206.84
SO47418	2018-09-18	1	283	4	22.79	91.16	62.68	28.48
SO46958	2018-08-07	1	272	2	1229.46	2458.92	2211.62	247.3
SO50693	2019-06-11	44	286	179	12207.5	32210.25	27918.87	4291.38
SO58952	2019-12-09	4	295	9	1323.54	4335.29	4300.15	35.14
SO46640	2018-07-16	20	281	60	10181.74	33293.81	29762.88	3530.93
SO53472	2019-09-04	54	288	353	17986.7	92642.85	96152.41	-3509.56
SO47012	2018-08-21	43	284	214	12268.07	40697.64	42344.8	-1647.16
SO69486	2020-05-17	1	281	1	323.99	323.99	343.65	-19.66
SO50672	2019-06-05	55	287	255	20523.13	79041.84	78388.39	653.45
SO67329	2020-04-26	9	295	20	4057.52	7776.94	7968.6	-191.66
SO51170	2019-07-31	7	290	8	3509.62	3711.95	3771.37	-59.42
SO59004	2019-12-17	1	296	1	1391.99	1391.99	1265.62	126.37
SO50310	2019-05-29	39	281	204	13218.25	70067.49	63123.84	6943.65
SO53604	2019-09-27	3	295	3	1747.79	1747.79	1775.75	-27.96
SO44283	2017-10-05	27	288	81	14564.31	43846.6	43929.54	-82.94
SO58988	2019-12-15	10	282	25	4117.4	4878.65	5102.75	-224.1
SO50257	2019-05-17	1	282	1	324.45	324.45	300.12	24.33
SO44520	2017-11-13	34	282	124	15693.42	57700.29	57585.09	115.2
SO44503	2017-11-07	4	281	9	1718.9	3028.72	3031.68	-2.96
SO49443	2019-03-01	1	285	1	67.54	67.54	49.98	17.56
SO45328	2018-02-21	10	282	51	14274.66	63241.84	59287.0	3954.84
SO59013	2019-12-19	38	281	98	13265.24	30540.85	27321.68	3219.17
SO44106	2017-09-21	1	285	1	419.46	419.46	413.15	6.31
SO47722	2018-10-29	1	282	1	183.94	183.94	170.14	13.8
SO65164	2020-03-03	40	291	152	11807.29	24805.06	22195.81	2609.25
SO57115	2019-11-17	1	288	1	323.99	323.99	343.65	-19.66
SO46052	2018-05-13	11	286	27	14265.36	24582.69	23061.22	1521.47
SO57149	2019-11-23	11	285	36	3060.81	10780.23	9606.0	1174.23
SO67339	2020-04-28	30	292	199	4041.66	23874.6	24277.07	-402.47
SO67277	2020-04-08	50	272	152	10946.7	29534.12	26623.67	2910.45
SO43684	2017-07-21	6	285	9	3427.42	5596.46	5604.58	-8.12
SO63173	2020-02-10	21	290	57	12070.89	26775.33	28113.68	-1338.35
SO48318	2018-12-11	32	283	132	9144.83	31311.39	27904.5	3406.89
SO63220	2020-02-19	6	285	6	4642.52	4642.52	4809.64	-167.12
SO63210	2020-02-18	19	292	50	14760.31	33632.76	35646.68	-2013.92
SO45337	2018-02-24	17	285	27	10527.97	17669.0	17749.39	-80.39
SO50667	2019-06-04	6	291	25	3770.14	11443.17	10215.08	1228.09
SO49142	2019-02-23	1	289	1	209.26	209.26	185.82	23.44
SO50290	2019-05-23	20	283	51	14686.13	37329.33	37401.37	-72.04
SO65273	2020-03-23	22	296	51	7402.32	13030.1	11503.2	1526.9
SO47029	2018-08-24	1	283	1	53.99	53.99	37.12	16.87
SO44535	2017-11-16	14	288	36	7955.93	23590.84	23638.75	-47.91
SO46358	2018-06-17	35	283	83	21739.18	60079.03	60317.39	-238.36
SO49877	2019-04-23	22	283	72	12416.91	36459.67	32516.52	3943.15
SO43680	2017-07-18	15	287	30	6215.44	11397.53	11363.53	34.0
SO55309	2019-10-25	36	295	222	10452.77	47814.4	48751.84	-937.44
SO59042	2019-12-23	8	291	14	2010.47	3684.81	3336.77	348.04
SO45336	2018-02-23	10	289	19	13050.23	27311.56	25381.54	1930.02
SO45277	2018-02-05	18	281	35	17139.5	29534.94	29660.8	-125.86
SO46938	2018-08-02	31	291	112	13678.11	53415.9	47410.48	6005.42
SO57046	2019-11-07	67	282	368	17940.1	73194.89	65391.83	7803.06
SO61175	2020-01-01	25	288	57	14607.96	25882.64	26618.1	-735.46
SO49893	2019-04-30	41	282	150	10342.35	31887.17	31522.75	364.42
SO48021	2018-11-14	26	281	68	12948.61	35564.73	31532.52	4032.21
SO57160	2019-11-25	20	293	50	12675.57	28744.81	30350.36	-1605.55
SO50710	2019-06-16	2	284	2	784.2	784.2	775.79	8.41
SO63170	2020-02-10	37	288	96	14494.6	32316.91	29281.76	3035.15
SO47009	2018-08-21	48	288	137	20376.88	49625.4	50106.24	-480.84
SO43899	2017-08-26	13	283	21	7852.41	11942.58	11965.86	-23.28
SO47445	2018-09-26	7	288	18	498.74	1116.9	813.39	303.51
SO55240	2019-10-03	2	296	2	890.82	890.82	922.88	-32.06
SO44747	2017-12-10	9	284	19	3880.91	10393.22	10425.96	-32.74
SO47973	2018-11-03	46	291	125	20941.4	47151.15	47217.57	-66.42
SO46646	2018-07-17	11	286	35	475.75	1155.77	856.63	299.14
